Date,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar,Weight,Body Fat %
2021-4-1,870.0,45.0,24.0,118.0,2582.0,7.0,,
2021-4-2,2062.0,174.0,77.0,142.0,5349.0,51.0,169.2,
2021-4-3,120.0,11.0,6.0,7.0,34.0,6.0,,
2021-4-4,,,,,,,,
2021-4-5,1801.0,187.0,38.0,209.0,3668.0,88.0,168.3,
2021-4-6,1801.0,187.0,38.0,209.0,3668.0,88.0,168.2,
2021-4-7,1850.0,156.0,52.0,214.0,3834.0,62.0,168.2,
2021-4-8,1894.0,200.0,49.0,171.0,3650.0,100.0,167.2,
2021-4-9,1903.0,229.0,45.0,165.0,6448.0,77.0,166.1,
2021-4-10,2743.0,331.0,75.0,193.0,7863.0,108.0,166.5,
2021-4-11,2565.0,259.0,86.0,176.0,5240.0,67.0,,
2021-4-12,2097.0,218.0,45.0,223.0,4670.0,122.0,167.5,
2021-4-13,2053.0,180.0,65.0,214.0,4431.0,82.0,165.6,
2021-4-14,2240.0,277.0,64.0,186.0,2836.0,80.0,,
2021-4-15,1891.0,156.0,58.0,214.0,4097.0,30.0,166.5,
2021-4-16,2530.0,218.0,124.0,161.0,4512.0,58.0,164.9,
2021-4-17,3312.0,434.0,124.0,137.0,2949.0,75.0,166.5,
2021-4-18,2876.0,317.0,104.0,164.0,3559.0,119.0,167.9,
2021-4-19,1885.0,224.0,51.0,151.0,781.0,48.0,167.7,
2021-4-20,1915.0,226.0,52.0,152.0,1063.0,65.0,166.7,
2021-4-21,2013.0,246.0,52.0,154.0,881.0,73.0,165.1,
2021-4-22,2197.0,234.0,67.0,179.0,3447.0,88.0,165.4,
2021-4-23,1925.0,205.0,49.0,169.0,2845.0,14.0,165.1,
2021-4-24,2199.0,304.0,51.0,166.0,2506.0,141.0,169.7,
2021-4-25,2626.0,290.0,98.0,168.0,3656.0,158.0,165.6,
2021-4-26,1596.0,178.0,74.0,106.0,1971.0,98.0,167.3,
2021-4-27,1290.0,99.0,33.0,155.0,2668.0,17.0,,
2021-4-28,2781.0,315.0,92.0,188.0,2963.0,174.0,,
2021-4-29,2397.0,313.0,68.0,176.0,2422.0,147.0,168.0,
2021-4-30,1973.0,244.0,43.0,175.0,3660.0,86.0,167.5,
2021-5-1,1906.0,218.0,47.0,170.0,1979.0,76.0,166.0,
2021-5-2,2167.0,237.0,88.0,134.0,1655.0,77.0,165.9,
2021-5-3,1760.0,165.0,57.0,145.0,1868.0,16.0,166.5,
2021-5-4,303.0,61.0,2.0,11.0,382.0,24.0,165.7,
2021-5-5,1771.0,182.0,57.0,142.0,1908.0,64.0,166.3,
2021-5-6,2043.0,275.0,48.0,166.0,2426.0,65.0,165.7,
2021-5-7,1924.0,190.0,78.0,144.0,2779.0,33.0,165.2,
2021-5-8,1666.0,186.0,46.0,138.0,1523.0,76.0,165.9,
2021-5-9,2379.0,278.0,54.0,210.0,4425.0,126.0,165.6,
2021-5-10,2910.0,286.0,92.0,178.0,3109.0,103.0,166.9,
2021-5-11,1979.0,232.0,46.0,174.0,2284.0,103.0,167.2,
2021-5-12,2447.0,261.0,74.0,187.0,2469.0,69.0,165.3,
2021-5-13,2029.0,243.0,56.0,154.0,2574.0,99.0,165.3,
2021-5-14,1865.0,166.0,73.0,148.0,3236.0,53.0,164.4,
2021-5-15,2851.0,292.0,123.0,140.0,4079.0,117.0,164.6,
2021-5-16,2750.0,312.0,100.0,152.0,2357.0,142.0,164.9,
2021-5-17,2569.0,236.0,96.0,193.0,3430.0,93.0,166.1,
2021-5-18,1538.0,134.0,62.0,132.0,1529.0,23.0,165.3,
2021-5-19,1912.0,170.0,68.0,183.0,3275.0,64.0,165.5,
2021-5-20,2098.0,166.0,88.0,186.0,2288.0,49.0,166.9,
2021-5-21,2391.0,216.0,104.0,166.0,3417.0,80.0,164.7,
2021-5-22,3032.0,231.0,129.0,257.0,4131.0,62.0,163.7,
2021-5-23,3246.0,392.0,96.0,223.0,3960.0,174.0,164.3,
2021-5-24,1972.0,164.0,103.0,98.0,1972.0,89.0,166.6,
2021-5-25,,,,,,,166.3,
